Industry,Brand,URL,Primary CTA,Hero Headline Pattern
SaaS / DevTools,TestGrid,https://testgrid.io,Book Demo,"UNIFIED Test Infrastructure & Software Testing Platform"
SaaS / DevTools,BrowserStack,https://www.browserstack.com,Get Started,"Test on real devices and browsers"
SaaS / DevTools,Sauce Labs,https://saucelabs.com,Get Started,"Test automation at scale"
SaaS / DevTools,Cypress,https://www.cypress.io,Get Started,"Fast, easy and reliable testing"
SaaS / DevTools,GitHub,https://github.com,Sign Up,"Build, ship, and maintain software"
SaaS / DevTools,GitLab,https://about.gitlab.com,Get Started,"The DevSecOps platform"
SaaS / DevTools,Atlassian Jira,https://www.atlassian.com/software/jira,Try it free,"Plan, track, and release great software"
SaaS / DevTools,Notion,https://www.notion.so,Get Notion Free,"All-in-one workspace"
SaaS / DevTools,Slack,https://slack.com,Get Started,"Where work happens"
SaaS / DevTools,Zoom,https://zoom.us,Sign Up,"One platform to connect"
SaaS / DevTools,Linear,https://linear.app,Sign Up,"The issue tracker for modern teams"
SaaS / DevTools,Vercel,https://vercel.com,Start Deploying,"Deploy web projects instantly"
SaaS / DevTools,Netlify,https://www.netlify.com,Get Started,"The platform for modern web projects"
SaaS / DevTools,Postman,https://www.postman.com,Sign Up for Free,"The API platform"
SaaS / DevTools,Datadog,https://www.datadoghq.com,Get Started,"Cloud monitoring as a service"
Finance / Fintech / Insurance,Stripe,https://stripe.com,Start Now,"Payments infrastructure for the internet"
Finance / Fintech / Insurance,PayPal,https://www.paypal.com,Sign Up,"The simpler, safer way to pay and get paid"
Finance / Fintech / Insurance,Wise,https://wise.com,Register,"Money without borders"
Finance / Fintech / Insurance,Brex,https://www.brex.com,Get Started,"Corporate cards and spend management"
Finance / Fintech / Insurance,Ramp,https://ramp.com,Get Started,"Spend management reimagined"
Finance / Fintech / Insurance,Robinhood,https://robinhood.com,Sign Up,"Investing for everyone"
Finance / Fintech / Insurance,Coinbase,https://www.coinbase.com,Get Started,"The easiest place to buy and sell crypto"
Finance / Fintech / Insurance,Chime,https://www.chime.com,Get Started,"Banking that has your back"
Finance / Fintech / Insurance,SoFi,https://www.sofi.com,Get Started,"Do more with your money"
Finance / Fintech / Insurance,Square,https://squareup.com,Get Started,"Tools to run your business"
Finance / Fintech / Insurance,Lemonade,https://www.lemonade.com,Check Our Prices,"Instant, affordable insurance"
Finance / Fintech / Insurance,Root Insurance,https://www.joinroot.com,Get a Quote,"Car insurance based on how you drive"
Finance / Fintech / Insurance,Oscar Health,https://www.hioscar.com,Get a Quote,"Health insurance made easy"
Finance / Fintech / Insurance,Klarna,https://www.klarna.com,Get the App,"Pay in 4 for your purchases"
Finance / Fintech / Insurance,Intuit QuickBooks,https://quickbooks.intuit.com,Try it free,"Smarter business tools for the world's hardest workers"
Healthcare / HealthTech / Pharma,Mayo Clinic,https://www.mayoclinic.org,Find Care,"Expert care, every day"
Healthcare / HealthTech / Pharma,Cleveland Clinic,https://my.clevelandclinic.org,Find a Doctor,"Every life deserves world class care"
Healthcare / HealthTech / Pharma,Teladoc,https://www.teladoc.com,Get Started,"Talk to a doctor by phone or video"
Healthcare / HealthTech / Pharma,Zocdoc,https://www.zocdoc.com,Find a Doctor,"Book an appointment with a doctor near you"
Healthcare / HealthTech / Pharma,One Medical,https://www.onemedical.com,Join Now,"Membership-based primary care"
Healthcare / HealthTech / Pharma,Omada Health,https://www.omadahealth.com,Get Started,"Digital care for chronic conditions"
Healthcare / HealthTech / Pharma,Noom,https://www.noom.com,Get Started,"Lose weight for good"
Healthcare / HealthTech / Pharma,Moderna,https://www.modernatx.com,Learn More,"mRNA medicines to transform lives"
Healthcare / HealthTech / Pharma,Pfizer,https://www.pfizer.com,Learn More,"Breakthroughs that change patients' lives"
Healthcare / HealthTech / Pharma,Roche,https://www.roche.com,Learn More,"Doing now what patients need next"
Retail & Ecommerce,Amazon,https://www.amazon.com,Sign In / Shop Now,"Everything you need, delivered"
Retail & Ecommerce,Walmart,https://www.walmart.com,Shop Now,"Save money. Live better."
Retail & Ecommerce,Target,https://www.target.com,Shop Now,"Expect more. Pay less."
Retail & Ecommerce,Best Buy,https://www.bestbuy.com,Shop Now,"Expert service. Unbeatable price."
Retail & Ecommerce,IKEA,https://www.ikea.com,Shop Products,"Affordable furniture and home goods"
Retail & Ecommerce,Wayfair,https://www.wayfair.com,Shop Now,"A zillion things home"
Retail & Ecommerce,Nike,https://www.nike.com,Shop,"Just Do It"
Retail & Ecommerce,Adidas,https://www.adidas.com,Shop Now,"Impossible is nothing"
Retail & Ecommerce,H&M,https://www2.hm.com,Shop Now,"Fashion and quality at the best price"
Retail & Ecommerce,Sephora,https://www.sephora.com,Shop Now,"Let’s beauty together"
Retail & Ecommerce,ASOS,https://www.asos.com,Shop Now,"Discover fashion online"
Retail & Ecommerce,Etsy,https://www.etsy.com,Explore,"Shop for handmade and vintage items"
Retail & Ecommerce,Zara,https://www.zara.com,Shop Now,"Fashion for everyone"
Retail & Ecommerce,Costco,https://www.costco.com,Join Now,"Wholesale savings for members"
Retail & Ecommerce,Shopify,https://www.shopify.com,Start Free Trial,"The platform commerce is built on"
Travel / Hospitality / Transportation,Airbnb,https://www.airbnb.com,Start Your Search,"Book unique homes and experiences"
Travel / Hospitality / Transportation,Booking.com,https://www.booking.com,Search,"Deals on hotels, homes and more"
Travel / Hospitality / Transportation,Expedia,https://www.expedia.com,Search,"Your one-stop travel shop"
Travel / Hospitality / Transportation,TripAdvisor,https://www.tripadvisor.com,Start Planning,"Know better. Book better. Go better."
Travel / Hospitality / Transportation,Uber,https://www.uber.com,Sign Up to Ride,"Get a ride in minutes"
Travel / Hospitality / Transportation,Lyft,https://www.lyft.com,Sign Up,"Request a ride now"
Travel / Hospitality / Transportation,Delta Air Lines,https://www.delta.com,Book,"Keep climbing"
Travel / Hospitality / Transportation,Emirates,https://www.emirates.com,Search Flights,"Fly better"
Travel / Hospitality / Transportation,Marriott,https://www.marriott.com,Find & Reserve,"Travel brilliantly"
Travel / Hospitality / Transportation,Hilton,https://www.hilton.com,Book a Stay,"Expect better. Expect Hilton."
Media / Entertainment / Telco,Netflix,https://www.netflix.com,Sign In / Join Now,"Unlimited movies, TV shows, and more"
Media / Entertainment / Telco,Disney+,https://www.disneyplus.com,Sign Up Now,"The best stories in one place"
Media / Entertainment / Telco,Spotify,https://www.spotify.com,Get Spotify Free,"Music for everyone"
Media / Entertainment / Telco,YouTube Premium,https://www.youtube.com/premium,Try it Free,"More YouTube, no interruptions"
Media / Entertainment / Telco,Hulu,https://www.hulu.com,Start Your Free Trial,"All your TV in one place"
Media / Entertainment / Telco,Max,https://www.max.com,Sign Up Now,"Stream HBO and more"
Media / Entertainment / Telco,Comcast Xfinity,https://www.xfinity.com,Shop Offers,"Internet, TV, and mobile together"
Media / Entertainment / Telco,T-Mobile,https://www.t-mobile.com,See Plans,"Un-carrier mobile service"
Media / Entertainment / Telco,Verizon,https://www.verizon.com,Shop,"5G built right"
Media / Entertainment / Telco,PlayStation,https://www.playstation.com,Learn More,"Play has no limits"
Education / Learning,Coursera,https://www.coursera.org,Join for Free,"Learn without limits"
Education / Learning,Udemy,https://www.udemy.com,Explore Courses,"Expand your skills"
Education / Learning,Duolingo,https://www.duolingo.com,Get Started,"The free, fun way to learn a language"
Education / Learning,Khan Academy,https://www.khanacademy.org,Start Learning,"You can learn anything"
Education / Learning,edX,https://www.edx.org,Explore Courses,"Education for everyone"
Education / Learning,Codecademy,https://www.codecademy.com,Get Started,"Learn to code interactively"
Education / Learning,Udacity,https://www.udacity.com,View Programs,"Learn the skills for careers in tech"
Education / Learning,MasterClass,https://www.masterclass.com,Get Started,"Learn from the world’s best"
Education / Learning,Chegg,https://www.chegg.com,Sign Up,"Study help and more"
Education / Learning,LinkedIn Learning,https://www.linkedin.com/learning,Start Free Trial,"Learn the skills you need"
B2B Services & Tools,HubSpot,https://www.hubspot.com,Get a Demo,"Grow better with HubSpot"
B2B Services & Tools,Salesforce,https://www.salesforce.com,Try for Free,"The customer company"
B2B Services & Tools,Zendesk,https://www.zendesk.com,Free Trial,"Champion of customer service"
B2B Services & Tools,Intercom,https://www.intercom.com,Get Started,"The only AI customer service solution you need"
B2B Services & Tools,Mailchimp,https://mailchimp.com,Sign Up Free,"Turn emails into revenue"
B2B Services & Tools,SendGrid,https://sendgrid.com,Start for Free,"Email delivery simplified"
B2B Services & Tools,Calendly,https://calendly.com,Sign Up Free,"Easy scheduling ahead"
B2B Services & Tools,DocuSign,https://www.docusign.com,Try for Free,"The way the world agrees"
B2B Services & Tools,Dropbox,https://www.dropbox.com,Sign Up,"Secure file sharing and storage"
B2B Services & Tools,Box,https://www.box.com,Get Started,"The content cloud"
B2B Services & Tools,Miro,https://miro.com,Sign Up Free,"The online collaborative whiteboard platform"
B2B Services & Tools,Figma,https://www.figma.com,Get Started,"Design, prototype, and collaborate"
B2B Services & Tools,Asana,https://asana.com,Try for Free,"Work on big ideas, without the busywork"
B2B Services & Tools,Monday.com,https://monday.com,Get Started,"A work OS that powers teams"
B2B Services & Tools,ServiceNow,https://www.servicenow.com,Get a Demo,"Workflows that work for you"
